,p,P,y,Y,f,F,g,G,c,C,r,R,l,L,a,A,o,O,e,E,u,U,i,I,d,D,h,H,t,T,n,N,s,S,q,Q,j,J,k,K,x,X,b,B,m,M,w,W,v,V,z,Z,$,&,[,{,},(,=,*,),+,],!,#,~,%,7,5,3,1,9,0,2,4,6,8,`,;,",",.,/,@,\,:,<,>,?,^,|,-,',_,"""",	,"
i,1600496.0,39204.0,10470.0,3248.0,6877709.0,28589.0,3633847.0,9619.0,5782381.0,85908.0,2094681.0,32682.0,5238582.0,22331.0,2036928.0,33033.0,8595413.0,15793.0,2740493.0,23409.0,92990.0,6391.0,85572.0,43326.0,5318842.0,39510.0,14782.0,13492.0,8693769.0,48961.0,26506887.0,19767.0,7752720.0,75919.0,194471.0,5130.0,23901.0,1523.0,110066.0,14210.0,809341.0,6362.0,1138140.0,26617.0,3434759.0,30950.0,11210.0,29912.0,1666046.0,85074.0,3691210.0,3784.0,103.0,2226.0,14765.0,4301.0,2687.0,101995.0,59221.0,14225.0,362127.0,221891.0,551055.0,1848.0,448.0,19.0,1315.0,2153.0,3514.0,141772.0,60220.0,1365.0,12409.0,34821.0,5650.0,41204.0,35283.0,579.0,86790.0,145078.0,134397.0,41090.0,675.0,5134.0,218355.0,49673.0,12461.0,793.0,488.0,400.0,208449.0,5115.0,246975.0,24743.0,542.0,16470.0,1008056.0
I,45597.0,284837.0,727.0,1120.0,263001.0,236685.0,32563.0,366871.0,71941.0,474191.0,24454.0,281780.0,110775.0,591311.0,4954.0,224402.0,17460.0,681594.0,3571.0,287606.0,6099.0,31482.0,3474.0,106822.0,699337.0,878389.0,963.0,11838.0,488020.0,837881.0,4199838.0,1892411.0,633776.0,622793.0,737.0,5989.0,400.0,2958.0,5322.0,27698.0,6144.0,96072.0,2183.0,137093.0,886895.0,438366.0,2110.0,13324.0,5341.0,144373.0,1009.0,163209.0,120.0,910.0,1956.0,363.0,685.0,54302.0,1098.0,4364.0,65886.0,1793.0,8262.0,264.0,213.0,3.0,493.0,826.0,1000.0,18962.0,16282.0,1467.0,2381.0,21724.0,7538.0,12525.0,6936.0,132.0,13353.0,49640.0,63561.0,12914.0,66.0,523.0,51518.0,1870.0,4836.0,96.0,82.0,108.0,53028.0,6311.0,216710.0,8750.0,243.0,13930.0,143633.0
d,143384.0,325137.0,441083.0,7880.0,154443.0,253674.0,434803.0,72094.0,174157.0,419465.0,1408803.0,257068.0,1162355.0,208762.0,2583752.0,270965.0,2036621.0,229780.0,13164580.0,185109.0,850685.0,67912.0,3854638.0,324170.0,2208821.0,247456.0,19129.0,79527.0,438516.0,398508.0,107272.0,152269.0,1222350.0,466708.0,20094.0,21489.0,93004.0,17769.0,80100.0,43617.0,390916.0,11476.0,377347.0,265710.0,105257.0,239934.0,114228.0,112426.0,85034.0,160817.0,10480.0,8495.0,1768.0,26494.0,98645.0,10990.0,13547.0,2304480.0,40876.0,171956.0,1089581.0,24041.0,83097.0,19248.0,1738.0,25.0,4540.0,31114.0,33098.0,68801.0,109031.0,28324.0,61044.0,89117.0,43853.0,45243.0,36126.0,3357.0,379690.0,953874.0,802878.0,95618.0,978.0,82857.0,2829667.0,148878.0,94003.0,6106.0,344.0,3747.0,298045.0,22671.0,2369474.0,335571.0,10536.0,387922.0,7263094.0
D,7599.0,56061.0,65299.0,32314.0,3256.0,101586.0,2278.0,46239.0,20143.0,236996.0,212291.0,144898.0,25655.0,207585.0,1046200.0,395960.0,446133.0,378746.0,2160498.0,981201.0,106024.0,63552.0,958394.0,416639.0,3479.0,196469.0,3363.0,14498.0,23298.0,96388.0,10748.0,82415.0,77763.0,161857.0,1686.0,8113.0,1333.0,6234.0,1439.0,28451.0,5975.0,54910.0,37017.0,240247.0,7277.0,59410.0,9568.0,77004.0,3151.0,85232.0,1252.0,2993.0,234.0,8671.0,8683.0,1654.0,5550.0,257708.0,5211.0,9510.0,195828.0,1660.0,16221.0,835.0,591.0,31.0,491.0,36423.0,39937.0,109504.0,109088.0,45123.0,51562.0,57293.0,44160.0,45829.0,35192.0,339.0,80746.0,242821.0,46183.0,5711.0,278.0,5829.0,163811.0,6434.0,17336.0,305.0,130.0,1302.0,73057.0,5550.0,788947.0,33979.0,2513.0,58324.0,480965.0
h,268361.0,99934.0,147469.0,1644.0,13110.0,57143.0,14408.0,18754.0,25483.0,118609.0,1134299.0,73117.0,71536.0,54415.0,4982070.0,62809.0,1756408.0,65496.0,7531483.0,52751.0,294790.0,20635.0,3196770.0,93952.0,72966.0,72385.0,24265.0,18467.0,1325686.0,106956.0,39042.0,46261.0,287390.0,160000.0,3027.0,3889.0,1441.0,2486.0,12512.0,27833.0,38888.0,2141.0,53374.0,81059.0,161997.0,69480.0,45704.0,28953.0,19132.0,33014.0,6665.0,1944.0,187.0,15117.0,32090.0,2606.0,3661.0,598553.0,12657.0,18757.0,325699.0,7762.0,25279.0,2509.0,302.0,24.0,554.0,2352.0,3374.0,11054.0,41768.0,2067.0,7174.0,38304.0,3540.0,29758.0,3530.0,1134.0,124689.0,397710.0,244632.0,36084.0,814.0,11993.0,155508.0,16231.0,286787.0,1547.0,248.0,872.0,80734.0,6678.0,875957.0,822362.0,1595.0,92745.0,1632880.0
H,2892.0,64432.0,12356.0,11448.0,1212.0,12333.0,1177.0,15664.0,4203.0,21623.0,4164.0,218057.0,42048.0,27379.0,813842.0,392829.0,225394.0,260206.0,699273.0,872276.0,35770.0,27317.0,184139.0,204052.0,17753.0,37575.0,339.0,22184.0,86022.0,155309.0,13225.0,5907.0,3584.0,88944.0,9005.0,3104.0,602.0,1220.0,1406.0,19310.0,803.0,49820.0,2022.0,22624.0,2707.0,43568.0,8681.0,38197.0,531.0,6117.0,7203.0,2990.0,44.0,159.0,1531.0,74.0,800.0,44590.0,1367.0,1320.0,33443.0,1111.0,6887.0,101.0,310.0,18.0,215.0,895.0,7520.0,4389.0,10965.0,643.0,1651.0,14443.0,1610.0,1988.0,1947.0,130.0,13616.0,33284.0,36243.0,1278.0,78.0,750.0,12537.0,252.0,3124.0,98.0,72.0,221.0,3024.0,2440.0,184648.0,9738.0,510.0,27194.0,121659.0
t,1068100.0,902717.0,3702972.0,23582.0,531959.0,633652.0,40270.0,148405.0,1357306.0,1069531.0,11600063.0,604388.0,422350.0,502093.0,9935472.0,704884.0,8945010.0,478039.0,17864413.0,493401.0,5670304.0,203477.0,13094449.0,868114.0,2735578.0,624519.0,10010706.0,304108.0,1952601.0,1031983.0,144066.0,462022.0,3158685.0,1170833.0,5321.0,37323.0,6109.0,24608.0,72197.0,105446.0,785253.0,38553.0,116908.0,537561.0,485648.0,620409.0,463856.0,239622.0,82993.0,447923.0,19752.0,23956.0,1809.0,252167.0,248723.0,29567.0,18055.0,4169842.0,64717.0,437832.0,2021173.0,63996.0,98763.0,13455.0,2040.0,43.0,4468.0,16248.0,20713.0,754455.0,304916.0,14226.0,46999.0,261335.0,59043.0,443719.0,232381.0,11018.0,814004.0,1654496.0,1709398.0,239418.0,2272.0,60148.0,1375873.0,827917.0,701108.0,8144.0,2907.0,6245.0,879033.0,96088.0,4942124.0,424506.0,22510.0,730729.0,15048655.0
T,24565.0,140187.0,1966189.0,421601.0,26127.0,171223.0,2542.0,35931.0,16274.0,218526.0,963284.0,915744.0,20666.0,143370.0,757633.0,663986.0,1169526.0,638294.0,1433769.0,1444269.0,94129.0,264163.0,715851.0,912478.0,4758.0,84155.0,1018166.0,702482.0,3566.0,264832.0,2015.0,76001.0,25170.0,216243.0,331.0,5692.0,592.0,3969.0,1520.0,27048.0,208804.0,60421.0,7229.0,49536.0,38707.0,136804.0,34686.0,85092.0,2411.0,31162.0,1060.0,5039.0,289.0,17404.0,9018.0,1117.0,5639.0,523133.0,2730.0,24002.0,193552.0,1891.0,16629.0,800.0,670.0,10.0,912.0,8240.0,7876.0,56836.0,83143.0,5013.0,17275.0,61847.0,14819.0,28803.0,16509.0,542.0,78924.0,273421.0,44727.0,21875.0,143.0,2418.0,188722.0,6574.0,165082.0,372.0,163.0,2231.0,25408.0,6015.0,2718425.0,42968.0,2736.0,79050.0,630017.0
n,991502.0,306481.0,313945.0,14250.0,2008381.0,243941.0,8265122.0,80313.0,5129827.0,464320.0,130465.0,260473.0,795447.0,183722.0,4605994.0,242820.0,3049086.0,180392.0,7254271.0,182987.0,2087996.0,84478.0,2502448.0,283060.0,10106537.0,239600.0,65418.0,142169.0,16609930.0,464453.0,1231111.0,140807.0,10602308.0,580621.0,28580.0,20649.0,38201.0,10044.0,598271.0,43987.0,46657.0,16164.0,123167.0,244652.0,224359.0,276796.0,46063.0,108778.0,1123386.0,198834.0,27367.0,19094.0,1239.0,71280.0,103969.0,14723.0,9947.0,1729501.0,33720.0,93902.0,708296.0,23888.0,85183.0,8666.0,1582.0,91.0,6139.0,1987.0,3781.0,31373.0,59842.0,2386.0,11951.0,52651.0,7460.0,10047.0,2792.0,5022.0,516624.0,664853.0,745698.0,142200.0,2849.0,83524.0,654344.0,89138.0,118575.0,4579.0,1247.0,2681.0,436478.0,266645.0,1856411.0,1033435.0,6484.0,335893.0,8201832.0
N,3994.0,89589.0,4436.0,121210.0,1878.0,195805.0,3077.0,496125.0,6177.0,354128.0,4769.0,71553.0,1554.0,95244.0,1007447.0,399533.0,1345340.0,587074.0,707220.0,698368.0,519665.0,705049.0,22606.0,245545.0,16257.0,637639.0,1577.0,14328.0,7716.0,1019935.0,5571.0,142447.0,10810.0,490125.0,1210.0,2242.0,902.0,3076.0,447.0,52720.0,9554.0,30028.0,5547.0,21480.0,3772.0,28641.0,1051.0,10637.0,5902.0,178128.0,2279.0,6893.0,111.0,1275.0,2822.0,210.0,2208.0,157045.0,2902.0,5359.0,133219.0,3005.0,16040.0,298.0,127.0,3.0,696.0,960.0,1488.0,36367.0,34289.0,829.0,20392.0,17831.0,1768.0,2879.0,979.0,282.0,44731.0,81547.0,12476.0,5161.0,97.0,1386.0,37489.0,1575.0,9670.0,221.0,281.0,746.0,30548.0,4634.0,674785.0,18899.0,1055.0,47134.0,299038.0
s,2186742.0,241898.0,576806.0,8647.0,313771.0,200051.0,336900.0,47991.0,1799231.0,344049.0,477223.0,212829.0,510248.0,144010.0,1746568.0,243524.0,2553446.0,174619.0,13388024.0,189351.0,2390242.0,83061.0,6711645.0,276304.0,118317.0,195980.0,2773187.0,69811.0,22820941.0,311095.0,177167.0,163369.0,5096433.0,357770.0,103349.0,12245.0,13879.0,13239.0,699170.0,44469.0,34764.0,14650.0,85947.0,189717.0,287286.0,231174.0,371192.0,93134.0,80448.0,172979.0,205246.0,13998.0,2301.0,62196.0,940722.0,28074.0,14991.0,2147475.0,60822.0,74331.0,1641279.0,35896.0,79035.0,11752.0,972.0,61.0,7468.0,3194.0,7804.0,46701.0,90052.0,1834.0,21953.0,154497.0,12140.0,15713.0,8577.0,6221.0,720389.0,1470354.0,2608698.0,395993.0,2643.0,128344.0,1269152.0,146115.0,109385.0,8299.0,1427.0,5726.0,700888.0,47439.0,2487455.0,412590.0,8727.0,674225.0,7902378.0
S,504284.0,303203.0,503788.0,70829.0,5839.0,59298.0,37993.0,89081.0,744991.0,318929.0,99212.0,100109.0,164720.0,214231.0,283315.0,231705.0,523221.0,378706.0,2346390.0,1430967.0,554727.0,258553.0,1182707.0,715257.0,12346.0,259091.0,638477.0,247288.0,3400388.0,1647570.0,29869.0,38611.0,21281.0,971742.0,33649.0,66682.0,680.0,1779.0,229592.0,78998.0,2647.0,12637.0,6865.0,66101.0,107221.0,109926.0,103164.0,94214.0,9411.0,63811.0,5131.0,11463.0,69.0,1418.0,10842.0,455.0,3181.0,148029.0,2595.0,7385.0,147561.0,1565.0,17773.0,610.0,482.0,7.0,482.0,1783.0,5473.0,21723.0,40065.0,1855.0,4275.0,34739.0,6684.0,6265.0,7665.0,229.0,85067.0,167857.0,63695.0,5730.0,116.0,2070.0,68804.0,1962.0,9788.0,447.0,88.0,1008.0,41136.0,5790.0,707461.0,70617.0,1173.0,68722.0,541305.0
q,17433.0,4339.0,1246.0,597.0,2842.0,2790.0,3305.0,1161.0,8589.0,6908.0,50345.0,4820.0,68104.0,4282.0,7236.0,6000.0,8620.0,2121.0,3365.0,2226.0,1762190.0,1070.0,15056.0,5430.0,7883.0,11172.0,2918.0,1938.0,27359.0,4915.0,9141.0,7208.0,18732.0,6068.0,4358.0,590.0,1095.0,290.0,1544.0,878.0,2777.0,742.0,4062.0,1993.0,10761.0,4413.0,3553.0,3921.0,3506.0,1555.0,1557.0,400.0,55.0,532.0,15287.0,341.0,299.0,55231.0,2067.0,1765.0,29112.0,1986.0,2831.0,72.0,29.0,6.0,72.0,1607.0,1288.0,3609.0,13279.0,1056.0,4180.0,8687.0,1899.0,1871.0,2542.0,92.0,14393.0,33317.0,47201.0,2225.0,66.0,557.0,9778.0,5350.0,979.0,39.0,119.0,73.0,23524.0,2090.0,77729.0,5775.0,220.0,2167.0,45503.0
Q,4873.0,38265.0,342.0,1059.0,1146.0,19602.0,2221.0,7458.0,1337.0,40319.0,3070.0,27026.0,675.0,80818.0,9544.0,39442.0,8502.0,20248.0,901.0,8257.0,345658.0,242152.0,10260.0,24795.0,649.0,29875.0,650.0,8251.0,70940.0,80473.0,2851.0,9065.0,2853.0,168511.0,964.0,7709.0,375.0,5044.0,406.0,6701.0,729.0,1544.0,9511.0,10899.0,6245.0,56613.0,2269.0,19752.0,1142.0,31445.0,443.0,1278.0,1.0,358.0,1300.0,27.0,96.0,390336.0,533.0,435.0,7336.0,417.0,456.0,16.0,48.0,1.0,58.0,877.0,397.0,5954.0,2720.0,543.0,1261.0,3094.0,573.0,367.0,1187.0,14.0,2491.0,6851.0,4363.0,492.0,17.0,391.0,4590.0,493.0,2698.0,20.0,73.0,62.0,1754.0,1266.0,56753.0,2178.0,82.0,1742.0,17087.0
j,18515.0,7399.0,2636.0,2742.0,4280.0,3124.0,2071.0,1531.0,33843.0,38058.0,16254.0,4319.0,14762.0,4377.0,68568.0,3897.0,185388.0,2096.0,1185108.0,4058.0,134993.0,831.0,41877.0,6907.0,5128.0,4383.0,3074.0,1720.0,6039.0,7765.0,16389.0,3159.0,228982.0,6337.0,785.0,266.0,12387.0,678.0,8990.0,1156.0,1642.0,470.0,8685.0,4331.0,15466.0,4763.0,4562.0,1074.0,5165.0,2418.0,1366.0,323.0,82.0,2434.0,10991.0,214.0,1168.0,32316.0,15643.0,4984.0,96580.0,39901.0,87001.0,193.0,68.0,11.0,246.0,2388.0,4711.0,7301.0,8114.0,464.0,3821.0,9732.0,4481.0,1673.0,2338.0,256.0,25324.0,61645.0,59944.0,1505.0,132.0,382.0,21349.0,12094.0,2064.0,67.0,73.0,121.0,38178.0,1493.0,42116.0,10338.0,111.0,2069.0,169049.0
J,3994.0,12066.0,546.0,503.0,443.0,1486.0,638.0,1302.0,743.0,5063.0,1161.0,2154.0,385.0,2762.0,50132.0,9847.0,78339.0,24906.0,9478.0,47928.0,42515.0,12476.0,39143.0,24296.0,623.0,3185.0,575.0,977.0,1053.0,3125.0,4842.0,33113.0,101437.0,249680.0,492.0,394.0,598.0,1186.0,283.0,2996.0,1318.0,1428.0,416.0,2435.0,1292.0,4835.0,1298.0,1026.0,1485.0,4423.0,602.0,472.0,30.0,86.0,711.0,16.0,266.0,2101.0,174.0,329.0,12588.0,296.0,1044.0,3.0,17.0,0.0,55.0,309.0,323.0,700.0,875.0,758.0,422.0,4048.0,2274.0,288.0,395.0,6.0,1286.0,4190.0,1883.0,415.0,32.0,179.0,999.0,123.0,162.0,31.0,42.0,30.0,731.0,993.0,18492.0,1548.0,71.0,1071.0,5936.0
k,77731.0,186109.0,26080.0,7221.0,22434.0,141020.0,64196.0,53756.0,39772.0,197191.0,17497.0,134140.0,97475.0,65708.0,161245.0,129008.0,43263.0,64473.0,2847607.0,89166.0,141803.0,42738.0,485305.0,247649.0,26104.0,135993.0,24495.0,86566.0,79417.0,175845.0,162086.0,94308.0,504060.0,257189.0,2792.0,17384.0,5266.0,6167.0,15373.0,11251.0,3476.0,12246.0,34113.0,136499.0,40926.0,126155.0,47010.0,49823.0,26604.0,51209.0,1984.0,8478.0,274.0,13268.0,30555.0,2902.0,2579.0,901983.0,13027.0,26801.0,252458.0,15587.0,40556.0,1604.0,725.0,6.0,929.0,715.0,1540.0,6207.0,25246.0,652.0,6281.0,19780.0,5259.0,1765.0,2374.0,1514.0,627814.0,187226.0,249707.0,48595.0,675.0,6695.0,254985.0,36002.0,26297.0,1871.0,150.0,842.0,113487.0,6550.0,650825.0,56288.0,1136.0,74441.0,993142.0
K,1525.0,14224.0,760.0,2243.0,987.0,15811.0,836.0,7898.0,1415.0,11511.0,4244.0,10291.0,3631.0,15205.0,16748.0,36298.0,14631.0,11831.0,631651.0,225825.0,5124.0,9933.0,197422.0,71439.0,2092.0,10398.0,1457.0,49178.0,1606.0,19900.0,33285.0,29942.0,3345.0,45329.0,317.0,1662.0,257.0,2302.0,718.0,6550.0,527.0,10456.0,3274.0,15600.0,5282.0,19716.0,1526.0,5855.0,2740.0,23939.0,625.0,1097.0,517.0,650.0,1408.0,39.0,671.0,324372.0,850.0,1192.0,62920.0,947.0,2981.0,398.0,176.0,8.0,82.0,3131.0,6709.0,9821.0,39507.0,5328.0,3623.0,31643.0,7679.0,6825.0,4123.0,107.0,46299.0,47064.0,6064.0,2358.0,48.0,1598.0,26675.0,260.0,1669.0,176.0,60.0,396.0,15232.0,1543.0,523251.0,9186.0,385.0,13093.0,60173.0
x,1197509.0,88217.0,155113.0,4239.0,427683.0,175565.0,4689.0,20487.0,587987.0,125705.0,21589.0,39414.0,39106.0,61325.0,258254.0,99895.0,51302.0,54299.0,799812.0,66705.0,16723.0,22256.0,530372.0,96728.0,135879.0,114452.0,12428.0,27613.0,2472354.0,79788.0,62912.0,51653.0,62377.0,116555.0,1390.0,4008.0,1373.0,2531.0,3454.0,6643.0,89357.0,12929.0,103829.0,122202.0,110499.0,48205.0,5978.0,24093.0,7536.0,37064.0,3150.0,2609.0,321.0,15677.0,75978.0,4925.0,8189.0,377572.0,25865.0,55182.0,489921.0,47284.0,139509.0,972.0,1317.0,24.0,20838.0,216170.0,167424.0,284808.0,429878.0,136067.0,1207519.0,330115.0,513410.0,240644.0,301257.0,1353.0,163980.0,483801.0,321109.0,25016.0,558.0,22549.0,168043.0,51284.0,45565.0,1284.0,1894.0,1326.0,174761.0,8236.0,935591.0,76074.0,1815.0,50321.0,957594.0
X,2337.0,638746.0,1198.0,23178.0,7365.0,27687.0,846.0,19521.0,8331.0,74012.0,7950.0,29487.0,11794.0,33424.0,6266.0,17851.0,7767.0,18952.0,2378.0,54350.0,4932.0,8368.0,26284.0,54766.0,17472.0,28501.0,639.0,5406.0,3333.0,285865.0,3988.0,14581.0,7428.0,29693.0,696.0,1026.0,482.0,904.0,726.0,4263.0,594.0,112127.0,5236.0,8889.0,43503.0,103617.0,1554.0,2937.0,582.0,4607.0,661.0,2498.0,87.0,1113.0,5330.0,421.0,2730.0,42078.0,1712.0,2609.0,54568.0,1879.0,8525.0,73.0,368.0,3.0,1201.0,1500.0,21388.0,6033.0,27378.0,3269.0,37170.0,12022.0,11669.0,8095.0,37194.0,130.0,23033.0,61540.0,15317.0,2316.0,174.0,2486.0,21519.0,1086.0,3486.0,123.0,201.0,358.0,16517.0,3349.0,329814.0,14468.0,609.0,15489.0,111180.0
b,70996.0,34345.0,650543.0,883.0,79353.0,26823.0,82698.0,17850.0,130375.0,68997.0,1028371.0,45509.0,3774460.0,18123.0,2287662.0,33278.0,2360715.0,18767.0,2455824.0,31580.0,2050397.0,13738.0,982454.0,52193.0,91125.0,32068.0,8894.0,17523.0,149337.0,29974.0,64678.0,25918.0,610908.0,67941.0,5712.0,2534.0,1404956.0,4236.0,53816.0,95582.0,25500.0,1491.0,160730.0,22123.0,92635.0,28547.0,21326.0,15555.0,31275.0,20761.0,12205.0,724.0,438.0,1714.0,30408.0,1385.0,3378.0,88383.0,5009.0,7361.0,142144.0,8373.0,9592.0,356.0,307.0,11.0,498.0,29294.0,31893.0,36791.0,62451.0,25702.0,57397.0,64981.0,31092.0,31122.0,32290.0,352.0,48399.0,230155.0,172155.0,52349.0,357.0,6985.0,99860.0,6782.0,34847.0,449.0,208.0,622.0,70275.0,7579.0,341138.0,51070.0,2108.0,13564.0,206175.0
B,6921.0,31543.0,305094.0,74892.0,3767.0,61919.0,30578.0,42135.0,5777.0,99499.0,191136.0,67321.0,678291.0,318643.0,774916.0,220998.0,526450.0,422955.0,263101.0,198366.0,962912.0,373025.0,589524.0,281955.0,2127.0,58005.0,2649.0,6020.0,9835.0,36958.0,4198.0,14190.0,10599.0,126072.0,643.0,2006.0,717.0,61265.0,2373.0,9221.0,2214.0,14267.0,2101.0,131733.0,3908.0,37560.0,2997.0,9028.0,2968.0,12680.0,1031.0,3328.0,56.0,3272.0,11365.0,723.0,1264.0,42961.0,1078.0,5080.0,45751.0,927.0,9329.0,149.0,299.0,6.0,908.0,39726.0,40304.0,51370.0,62313.0,43061.0,50488.0,56092.0,39505.0,37169.0,41086.0,142.0,15482.0,84902.0,37428.0,5098.0,69.0,3021.0,44936.0,1113.0,5091.0,161.0,258.0,295.0,18523.0,5551.0,178264.0,14971.0,382.0,13497.0,102578.0
m,4088141.0,156669.0,157601.0,5341.0,50214.0,112162.0,97013.0,233020.0,121367.0,197666.0,41874.0,130696.0,223182.0,78250.0,5491909.0,119811.0,2374119.0,96004.0,9385192.0,95642.0,739165.0,43538.0,2078567.0,162101.0,283793.0,142459.0,13674.0,39120.0,204181.0,159101.0,304644.0,72327.0,1204887.0,229489.0,13216.0,10821.0,6756.0,15381.0,31802.0,20562.0,28245.0,8703.0,1019600.0,85917.0,1057283.0,104267.0,16021.0,45240.0,38922.0,121851.0,7749.0,4294.0,166.0,36342.0,78879.0,4632.0,3492.0,390658.0,12639.0,33738.0,274775.0,9747.0,26961.0,1195.0,346.0,53.0,756.0,7087.0,19554.0,33991.0,88390.0,6258.0,26876.0,81333.0,19698.0,17801.0,11196.0,991.0,108690.0,254183.0,460296.0,120828.0,774.0,6563.0,409378.0,30443.0,100017.0,1105.0,929.0,835.0,198078.0,6998.0,2692704.0,76506.0,1912.0,72646.0,1249602.0
